EGA 342
KHA 542
TYE 893
QWC 792
ILC 452
IDH 434
ZTT 988
WKA 952
HZA 492
NXC 692
XUE 983
DLK 355
TZQ 897
FMN 366
ARB 272
MXY 699
BZY 299
KFO 536
ZUK 985
XFQ 937
PDR 737
GTC 482
WVH 984
YQV 978
RAY 729
SEV 738
GQT 478
PEC 732
IIB 442
RVY 789
NTO 686
CYT 298
SRP 777
YKV 958
PHV 748
YGC 942
XFQ 937
BRN 276
FGB 342
EML 365
MAS 627
VCY 829
TQF 873
NUR 687
LSV 578
CIS 247
KEE 533
ENS 367
RYT 798
HDW 439
EVS 387
ROE 763
ILD 453
XLF 953
WPE 973
DCV 328
KGN 546
XRL 975
DKQ 357
KDK 535
NSM 676
KUJ 585
YFV 938
OBT 628
XPZ 979
TKK 855
KTV 588
IRC 472
ENV 368
BJV 258
RDY 739
UNZ 869
BQF 273
SBA 722
LQL 575
FRO 376
GJX 459
YJC 952
BVD 283
QTE 783
LHV 548
JKZ 559
FHM 346
WMC 962
ZST 978
TQE 873
FLM 356
ZBZ 929
YQJ 975
HUQ 487
QVI 784
RSD 773
ZFM 936
GBN 426
WIS 947
FAJ 325
ZXL 995
QHO 746
EDA 332
TXA 892
LKI 554
RRR 777
TCK 825
JTP 587
CPS 277
YGL 945
SES 737
ODQ 637
BCO 226
LTY 589
GRS 477
YRO 976
HAO 426
JUK 585
WSS 977
NJF 653
UPH 874
LCM 526
GUL 485
NAW 629
JVY 589
GAL 425
YVU 988
DBJ 325
DJJ 355
WWN 996
GFH 434
KAA 522
ARD 273
RUB 782
LQB 572
LRD 573
QFZ 739
DTQ 387
RJY 759
DIN 346
QPY 779
RXM 796
JQS 577
DYJ 395
SOV 768
KKY 559
ESZ 379
BWP 297
KEG 534
PYC 792
CQB 272
ZDL 935
SUZ 789
XUM 986
VSA 872
WOM 966
PAB 722
OHN 646
OIK 645
SKQ 757
PBQ 727
MWH 694
FYX 399
MGY 649
XQW 979
UYW 899
LTW 589
LWD 593
KRA 572
OIV 648
DEZ 339
PEN 736
DHZ 349
VVW 889
IEY 439
NJD 653
BWM 296
XLW 959
ABH 224
JFC 532
UIE 843
ZJW 959
EAZ 329
FDZ 339
LJU 558
EYH 394
FSE 373
SHF 743
RXZ 799
SBF 723
DRU 378
DNU 368
KLK 555
XDE 933
XDK 935
LAT 528
LNP 567
VPS 877
SEB 732
NIJ 645
TKW 859
EHB 342
AEB 232
QTP 787
RYE 793
RQF 773
RZV 798
FZV 398
FQE 373
VPY 879
LUD 583
UCU 828
RWL 795
ZBH 924
PUB 782
FCI 324
XDT 938
BCO 226
JCH 524
ICD 423
GVA 482
NYU 698
JEM 536
YIL 945
QSA 772
ZMT 968
IGM 446
WKM 956
WZA 992
WBO 926
UGH 844
OYS 697
ZZX 999
PMB 762
GHG 444
SFH 734
JEI 534
KMU 568
VPF 873
UOW 869
DME 363
VIB 842
VOQ 867
PSE 773
IXE 493
FWD 393
LRN 576
UMA 862
DVA 382
YVB 982
BLX 259
TSV 878
CTJ 285
JCW 529
MYT 698
CXQ 297
PAC 722
ADP 237
DJI 354
ZRL 975
AJQ 257
DWB 392
VRO 876
RRE 773
TQP 877
VJQ 857
HJT 458
YAK 925
ZLH 954
OYM 696
AQO 276
ZOI 964
KBG 524
LAR 527
STV 788
BVO 286
ITI 484
PDL 735
SUP 787
GAR 427
VPW 879
DVX 389
WTT 988
MFB 632
FAK 325
LTY 589
KWS 597
KJH 554
KTG 584
AOX 269
FLI 354
KAB 522
VYY 899
EAC 322
QPU 778
CFN 236
LZI 594
GDB 432
YAS 927
AQV 278
RCE 723
UFM 836
ECS 327
IQK 475
UHH 844
TDV 838
ZCP 927
IGN 446
LXF 593
FCS 327
MXE 693
SPP 777
HPG 474
LNN 566
ISD 473
EFU 338
QNQ 767
FFX 339
TAK 825
LXY 599
TQX 879
RYW 799
ROH 764
OVW 689
TZY 899
ZJG 954
UMS 867
KVL 585
AMT 268
YAC 922
UYZ 899
TUG 884
OEP 637
YZJ 995
BBK 225
UCO 826
XRO 976
MSA 672
TXB 892
XYT 998
NFR 637
BTX 289
LOO 566
CLO 256
OKQ 657
VTA 882
GMD 463
YAA 922
LNG 564
RIO 746
JKZ 559
YGG 944
SRO 776
UXP 897
XLL 955
SXB 792
TJK 855
EJB 352
PGP 747
TIE 843
QXS 797
TEG 834
DDC 332
LRY 579
EHP 347
ECF 323
MHI 644
EKM 356
TCB 822
CQE 273
AZQ 297
GDQ 437
QKF 753
SRT 778
XZH 994
TBH 824
JMN 566
BPB 272
JNI 564
BYU 298
KNO 566
RUR 787
MGU 648
UIP 847
APU 278
LWP 597
ZBM 926
NDE 633
APO 276
YNQ 967
GDG 434
MUX 689
NLC 652
GFX 439
VBO 826
TOZ 869
OAP 627
CVD 283
RGE 743
TSI 874
URR 877
KAD 523
LQF 573
EKQ 357
SRM 776
MGN 646
WWI 994
EBG 324
KWW 599
UER 837
HKN 456
GHM 446
EKR 357
JLC 552
YIL 945
QLD 753
UIF 843
XNF 963
DUZ 389
EDX 339
GXE 493
XYU 998
EVX 389
ZYE 993
EDY 339
HYO 496
RXH 794
IVD 483
SYL 795
RMN 766
BWP 297
GBG 424
SXE 793
AZT 298
PWQ 797
TMF 863
UIE 843
CKW 259
QEZ 739
JGI 544
TRJ 875
EKD 353
QRT 778
JXY 599
ZXR 997
JYV 598
XRE 973
QUE 783
NVJ 685
LYX 599
DCU 328
JSO 576
XID 943
JLQ 557
BIA 242
BBR 227
PSG 774
FJN 356
BCL 225
JYG 594
AGE 243
XRE 973
RRI 774
WTG 984
TEB 832
NIA 642
OJB 652
ICP 427
NUO 686
LEA 532
VYW 899
TLT 858
MOE 663
JYD 593
XJA 952
JUR 587
UOH 864
YOO 966
EAQ 327
RCJ 725
XYU 998
PWY 799
NDS 637
KZH 594
IBK 425
CGX 249
YVP 987
DRK 375
FOZ 369
BYO 296
NSG 674
VEO 836
TVC 882
DSS 377
UCL 825
QBE 723
VNX 869
PIV 748
VPZ 879
GEK 435
RHT 748
NOW 669
QSG 774
OWG 694
collision array
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  1  2 
 0  1  1  1  1  0  0  2  1  2  1  2  0  0  0  0  0  1  0  1  0  1  0  1  0 
 0  0  1  0  2  1  0  1  1  3  0  0  0  0  2  0  4  1  1  0  0  0  2  2  0 
 1  2  1  1  1  0  0  0  1  1  3  0  2  1  4  0  0  0  3  3  0  0  2  1  4 
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
 0  0  2  1  1  0  0  1  1  0  0  0  4  0  0  0  0  1  0  1  2  2  0  2  1 
 0  0  2  2  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  1  0  0  1  0  1 
 0  1  0  0  0  0  0  0  0  0  1  2  1  0  2  0  0  1  1  2  0  1  1  2  1 
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  3  3  1 
 3  2  2  0  1  0  0  3  0  1  1  2  3  1  3  0  0  1  3  0  0  2  2  3  1 
 0  0  0  2  0  0  1  2  1  3  0  0  1  1  1  0  1  1  2  1  0  0  4  7  3 
 0  5  4  5  1  0  0  2  4  1  1  1  3  1  3  0  0  3  2  1  2  3  6  5  4 
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  1  3 
 6  2  3  3  2  0  0  3  0  1  0  2  1  2  5  0  0  4  4  2  0  2  2  0  1 
 0  0  1  1  2  4  3  4  1  1  0  0  1  2  1  1  1  3  2  5  0  0  1  5  2 
 2  2  4  2  5  0  0  3  0  1  0  0  2  0  4  0  0  3  2  1  1  0  2  1  6 
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  1  2 
 3  4  4  0  1  0  0  1  1  3  3  1  3  2  3  0  0  2  1  2  3  3  1  0  0 
 0  0  4  2  2  1  2  0  2  3  0  0  1  2  1  0  2  1  1  0  0  0  1  4  1 
 4  2  2  3  2  0  0  3  2  3  2  1  2  3  0  0  0  2  3  2  2  2  1  3  1 
0 collisions occurred #258
1 collisions occurred #100
2 collisions occurred #72
3 collisions occurred #40
4 collisions occurred #19
5 collisions occurred #7
6 collisions occurred #3
7 collisions occurred #1
Max number of collisions is: 7
Total collisions: 242
average search: 2.06612
